baybay-an Enclitic; ! abandon
tawaran Enclitic; ! discount
upayen Enclitic; ! discourage
biroken Enclitic; ! discover
mapagtalkan Enclitic; ! discreet
naannad Enclitic; ! discreet
pileen Enclitic; ! discriminate
patang Enclitic; ! discuss
salaysayen Enclitic; ! discuss
saritaen Enclitic; ! discuss
guraen Enclitic; ! disdain
laisen Enclitic; ! disdain
dumsag Enclitic; ! disembark
sumanglad Enclitic; ! disembark
disgrasia Enclitic; ! disgrace
nakababin Enclitic; ! disgraceful
mulit Enclitic; ! disgrace
masimronan Enclitic; ! disgruntled
masuron Enclitic; ! disgruntled
panang-limlimo Enclitic; ! disguise
alas Enclitic; ! disgust
nasuron Enclitic; ! disgust
nauma Enclitic; ! disgust
kanen Enclitic; ! dish
manangalilaw Enclitic; ! dishonest
ubod Enclitic; ! dishonest
pinggan Enclitic; ! dish
sida Enclitic; ! dish
kagurgura Enclitic; ! dislike
naulbod Enclitic; ! disloyal
ikkaten Enclitic; ! dismiss
papanawen Enclitic; ! dismiss
bumaba Enclitic; ! dismount
umulog Enclitic; ! dismount
nariribuk Enclitic; ! disorderly
riribuk Enclitic; ! disorder
laksiden Enclitic; ! disown
dispensarem Enclitic; ! dispense
ipakaammo Enclitic; ! display
ipakita Enclitic; ! display
pabuya Enclitic; ! display
masuron Enclitic; ! displeased
napaay Enclitic; ! displeased
nasair Enclitic; ! displeased
ilako Enclitic; ! dispose
itden Enclitic; ! dispose
panangisaad Enclitic; ! dispose
riri Enclitic; ! dispute
susik Enclitic; ! dispute
gupden Enclitic; ! disrupt
singaen Enclitic; ! disrupt
sumupiat Enclitic; ! dissent
runawen Enclitic; ! dissolve
tunawen Enclitic; ! dissolve
pasardengen Enclitic; ! dissuade
upayen Enclitic; ! dissuade
baet Enclitic; ! distance
kaadayo Enclitic; ! distance
adayo Enclitic; ! distant
nakasusuron Enclitic; ! distasteful
naisupadi Enclitic; ! distinct
nalawag Enclitic; ! distinct
nalitnaw Enclitic; ! distinct
nalatak Enclitic; ! distinguished
rirbuken Enclitic; ! distract
sungaen Enclitic; ! distract
pasamak Enclitic; ! distress
rigat Enclitic; ! distress
sakit Enclitic; ! distress
tuok Enclitic; ! distress
ibunong Enclitic; ! distribute
iburay Enclitic; ! distribute
iwaras Enclitic; ! distribute
panagduadua Enclitic; ! distrust
pagringgoren Enclitic; ! disunite
pagsisinaen Enclitic; ! disunite
kanal Enclitic; ! ditch
agsuek Enclitic; ! dive
bumatok Enclitic; ! dive
umadayo Enclitic; ! diverge
nadumaduma Enclitic; ! diverse
isiasi Enclitic; ! divert
liwliwaen Enclitic; ! divert
paidaman Enclitic; ! divest
ussoban Enclitic; ! divest
bingayen Enclitic; ! divide
Nadiosan Enclitic; ! divine
NAsantuan Enclitic; ! divine
natan-ok Enclitic; ! divine
diborsio Enclitic; ! divorce
panagsina Enclitic; ! divorce
ipalgak Enclitic; ! divulge
irakurak Enclitic; ! divulge
maulaw Enclitic; ! dizzy
agaramid Enclitic; ! do
aramid Enclitic; ! do
aramiden Enclitic; ! do
natulnog Enclitic; ! docile
mangngagas Enclitic; ! doctor
kasuratan Enclitic; ! document
dokumento Enclitic; ! document
liklikan Enclitic; ! dodge
lisian Enclitic; ! dodge
aso Enclitic; ! dog
ubraem Enclitic; ! doing
karo Enclitic; ! do
nakuyem Enclitic; ! doleful
naladingit Enclitic; ! doleful
nasipnget Enclitic; ! doleful
pinaamo Enclitic; ! domesticated
tinaraken Enclitic; ! domesticated
naamo Enclitic; ! domestic
balay Enclitic; ! domicile
pagtaengan Enclitic; ! domicile
taeng Enclitic; ! domicile
mangnangruna Enclitic; ! dominant
nangato Enclitic; ! dominant
naturay Enclitic; ! dominant
daponyo Enclitic; ! donate
naaramid Enclitic; ! done
ikawes Enclitic; ! don
ipadas Enclitic; ! don
isuot Enclitic; ! don
dusa Enclitic; ! doom
gasat Enclitic; ! doom
patay Enclitic; ! doom
rigat Enclitic; ! doom
alilawen Enclitic; ! dope
angawen Enclitic; ! dope
ulawen Enclitic; ! dope
tulnek Enclitic; ! dot
dua Enclitic; ! double
mamindaa Enclitic; ! double
agduadua Enclitic; ! doubt
agatap Enclitic; ! doubtful
pagduaduaan Enclitic; ! doubtful
sa Enclitic; ! doubt
kalapati Enclitic; ! dove
pagaw Enclitic; ! dove
pagtumpongen Enclitic; ! dovetail
nakamattider Enclitic; ! downcast
nakamuleng-leng Enclitic; ! downcast
naliday Enclitic; ! downcast
ebomaba Enclitic; ! down
naan-anay Enclitic; ! downright
nabatad Enclitic; ! downright
ngatung Enclitic; ! downstairs
agpababa Enclitic; ! downwards
sangadosena Enclitic; ! dozen
tseke Enclitic; ! draft
uloden Enclitic; ! drag
karsan Enclitic; ! drain
paatianan Enclitic; ! drain
ipabuya Enclitic; ! dramatize
abbong Enclitic; ! drape
kortina Enclitic; ! drape
dutduten Enclitic; ! draw
iladawan Enclitic; ! draw
amak Enclitic; ! dread
buteng Enclitic; ! dread
agtagainep Enclitic; ! dream
arapaap Enclitic; ! dream
inep Enclitic; ! dream
tagtagainep Enclitic; ! dream
bado Enclitic; ! dress
kawesan Enclitic; ! dress
lupot Enclitic; ! dress
pagankatan Enclitic; ! dress
sukatan Enclitic; ! dress
tarimaanen Enclitic; ! dress
naparammag Enclitic; ! dressy
nagango Enclitic; ! dried
maisursurot Enclitic; ! drifting
mayan-anud Enclitic; ! drifting
mayanud Enclitic; ! drift
agtomar Enclitic; ! drink
inumen Enclitic; ! drink
inumin Enclitic; ! drink
uminom Enclitic; ! drink
uminum Enclitic; ! drink
agtedted Enclitic; ! drip
agtedtedted Enclitic; ! drip
panagtedted Enclitic; ! drip
agdalus Enclitic; ! drive
agarbis Enclitic; ! drizzle
arbis Enclitic; ! drizzle
agdumdumog Enclitic; ! droop
agrukrukob Enclitic; ! droop
ibbatan Enclitic; ! drop
iregreg Enclitic; ! drop
itinnag Enclitic; ! drop
malmes Enclitic; ! drown
agas Enclitic; ! drug
pangpaturog Enclitic; ! drug
bitohen Enclitic; ! drum
patiten Enclitic; ! drum
tambor Enclitic; ! drum
tugtohen Enclitic; ! drum
nabartek Enclitic; ! drunk
nabartek Enclitic; ! drunk
nabartik Enclitic; ! drunk
naulaw Enclitic; ! drunk
aggango Enclitic; ! dry
namaga Enclitic; ! dry
duaan Enclitic; ! dual
pagduaduaan Enclitic; ! dubious
itik Enclitic; ! duck
itik Enclitic; ! duck
pato Enclitic; ! duck
mabennat Enclitic; ! ductile
maunnat Enclitic; ! ductile
agsipud Enclitic; ! due
gapu Enclitic; ! due
agsasadut Enclitic; ! dull
mapuról Enclitic; ! dull
nangudel Enclitic; ! dull
pudpod Enclitic; ! dull
kuneng Enclitic; ! dumb
tabed Enclitic; ! dumb
tubed Enclitic; ! dumb
bambanti Enclitic; ! dummy
ibaba Enclitic; ! dump
ipuruak Enclitic; ! dump
takki Enclitic; ! dung
kapada Enclitic; ! duplicate
maikadua Enclitic; ! duplicate
nalagda Enclitic; ! durable
natibker Enclitic; ! durable
alikabok Enclitic; ! dust
dalusan Enclitic; ! dust
ruhit Enclitic; ! dust
sagadan Enclitic; ! dust
tapok Enclitic; ! dust
natapok Enclitic; ! dusty
bassit Enclitic; ! dwarfish
pandek Enclitic; ! dwarfish
agtaeng Enclitic; ! dwell
agyan Enclitic; ! dwell
balay Enclitic; ! dwelling
pagtataengan Enclitic; ! dwelling
maris Enclitic; ! dye
tina Enclitic; ! dye
agbubugsot Enclitic; ! dying
agbugsut Enclitic; ! dying
matmatay Enclitic; ! dying
napigsa Enclitic; ! dynamic
mailiw Enclitic; ! eager
nagagar Enclitic; ! eager
nasapa Enclitic; ! early
sapa Enclitic; ! early
ilasin Enclitic; ! earmark
markaan Enclitic; ! earmark
napasnek Enclitic; ! earnest
nasapulan Enclitic; ! earnings
sueldo Enclitic; ! earnings
daga Enclitic; ! earth
lubong Enclitic; ! earth
lupa Enclitic; ! earth
naigdagaan Enclitic; ! earthly
nailulongan Enclitic; ! earthly
nam-ay Enclitic; ! ease
panahinana Enclitic; ! ease
nalaklaka Enclitic; ! easier
nalaka Enclitic; ! easily
daya Enclitic; ! east
akindaya Enclitic; ! eastern
dayaen Enclitic; ! eastern
nalaka Enclitic; ! easy
nalag-an Enclitic; ! easy
nalaka Enclitic; ! easy
aglamot Enclitic; ! eat
kain Enclitic; ! eat
kainin Enclitic; ! eat
kumain Enclitic; ! eat
lamunin Enclitic; ! eat
lumamon Enclitic; ! eat
mangan Enclitic; ! eat
karkarna Enclitic; ! eccentric
gumluong Enclitic; ! echo
eklipse Enclitic; ! eclipse
alipugpog Enclitic; ! eddy
ihid Enclitic; ! edge
iking Enclitic; ! edge
mateptep Enclitic; ! edge
managbuteng Enclitic; ! edgy
makan Enclitic; ! edible
mamakan Enclitic; ! edible
suruan Enclitic; ! educate
nakabutbuteng Enclitic; ! eerie
nakam-amak Enclitic; ! eerie
nakaro Enclitic; ! effective
napigsa Enclitic; ! effective
binabai Enclitic; ! effeminate
itlog Enclitic; ! egg
maikawalo Enclitic; ! eighteenth
maikawalo Enclitic; ! eight
otso Enclitic; ! eight
walo Enclitic; ! eight
walora Enclitic; ! eight
paadayuen Enclitic; ! eject
pagtalawen Enclitic; ! eject
lumabas Enclitic; ! elapse
agbennat Enclitic; ! elastic
nalukneng Enclitic; ! elastic
naragsakan Enclitic; ! elated
siko Enclitic; ! elbow
siko Enclitic; ! elbow
apo Enclitic; ! elder
inauna Enclitic; ! elder
nataengan Enclitic; ! elder
pilien Enclitic; ! elect
nataraki Enclitic; ! elegant
pangrugyan Enclitic; ! elementary
dayawen Enclitic; ! elevate
ingato Enclitic; ! elevate
rumbeng Enclitic; ! eligible
tumutop Enclitic; ! eligible
ikkaten Enclitic; ! eliminate
yadayo Enclitic; ! eliminate
panagtaray Enclitic; ! elope
nagalis Enclitic; ! elusive
nasikap Enclitic; ! elusive
nasiglat Enclitic; ! elusive
nakttong Enclitic; ! emaciated
nakababain Enclitic; ! embarrassing
arakup Enclitic; ! embrace
agparang Enclitic; ! emerge
lumgak Enclitic; ! emerge
lumtaw Enclitic; ! emerge
simmanglad Enclitic; ! emigrate
nalatak Enclitic; ! eminent
adh Enclitic; ! empty
alawaaw Enclitic; ! empty
kawaw Enclitic; ! empty
naawangan Enclitic; ! empty
pagpadaen Enclitic; ! emulate
pagtuladen Enclitic; ! emulate
pabigsaen Enclitic; ! enable
lawlawen Enclitic; ! encircle
likmuten Enclitic; ! encircle
panangulit Enclitic; ! encore
panagsabat Enclitic; ! encounter
panagsarak Enclitic; ! encounter
sarakan Enclitic; ! encounter
sereken Enclitic; ! encroach
gunoden Enclitic; ! endeavor
padasen Enclitic; ! endeavor
gibus Enclitic; ! end
gibusna Enclitic; ! end
murdong Enclitic; ! end
pungto Enclitic; ! end
napaut Enclitic; ! enduring
napigsa Enclitic; ! energetic
ipaganethet Enclitic; ! enforce
ipatungpal Enclitic; ! enforce
asikasuen Enclitic; ! engage
tamingen Enclitic; ! engage
nakaay-ayo Enclitic; ! engaging
nalailo Enclitic; ! engaging
enginiero Enclitic; ! engineer
ipamuspusan Enclitic; ! engineer
makinista Enclitic; ! engineer
sakupen Enclitic; ! engulf
tilmunen Enclitic; ! engulf
padakkelen Enclitic; ! enhance
agganas Enclitic; ! enjoy
ipalawa Enclitic; ! enlarge
padakkelen Enclitic; ! enlarge
liwliwaen Enclitic; ! enliven
paragsaken Enclitic; ! enliven
kalalainganna Enclitic; ! enough
umanay Enclitic; ! enough
pagpungtoten Enclitic; ! enrage
paungeten Enclitic; ! enrage
agpailista Enclitic; ! enroll
sumrek Enclitic; ! enter
awisen Enclitic; ! entice
sapasap Enclitic; ! entire
pagnaan Enclitic; ! entrance
serkan Enclitic; ! entrance
makikakaasi Enclitic; ! entreat
makisarita Enclitic; ! entreat
kunikonen Enclitic; ! entwine
ipultipol Enclitic; ! entwine
bungonen Enclitic; ! envelop
naagum Enclitic; ! envious
naapal Enclitic; ! envious
apal Enclitic; ! envy
imon Enclitic; ! envy
umapal Enclitic; ! envy
angol Enclitic; ! epidemic
kapada Enclitic; ! equal
katulad Enclitic; ! equal
kapada Enclitic; ! equivalent
kaparis Enclitic; ! equivalent
katulad Enclitic; ! equivalent
ikkaten Enclitic; ! erase
pugasen Enclitic; ! erase
punasan Enclitic; ! erase
lintehen Enclitic; ! erect
pannakaipatakder Enclitic; ! erect
aglibas Enclitic; ! escape
agtalaw Enclitic; ! escape
bayabay Enclitic; ! escort
kadua Enclitic; ! escort
guardia Enclitic; ! escort
masapul Enclitic; ! essential
napatoeg Enclitic; ! essential
mangipatakder Enclitic; ! establish
panagdayaw Enclitic; ! esteem
adalen Enclitic; ! estimate
pattapattaen Enclitic; ! estimate
pugto Enclitic; ! estimate
pugtuan Enclitic; ! estimate
agnanayon Enclitic; ! eternal
agpahisu Enclitic; ! even
agpapada Enclitic; ! even
rabii Enclitic; ! evening
sumipnget Enclitic; ! evening
uray Enclitic; ! even
agnanayon Enclitic; ! ever
agnanayon Enclitic; ! everlasting
pammaneknek Enclitic; ! evidence
nalawag Enclitic; ! evident
nalitnaw Enclitic; ! evident
dakes Enclitic; ! evil
diablo Enclitic; ! evil
naranggas Enclitic; ! evil
ipakaamo Enclitic; ! evince
ipadlaw Enclitic; ! evince
apag-isu Enclitic; ! exact
managsapul Enclitic; ! exacting
nainget Enclitic; ! exacting
padakkelen Enclitic; ! exaggerate
pasawe Enclitic; ! exaggerate
subuken Enclitic; ! examine
suoten Enclitic; ! examine
nakasursuron Enclitic; ! exasperating
adunay Enclitic; ! exceedingly
nalabes Enclitic; ! exceedingly
labes Enclitic; ! exceed
labsan Enclitic; ! exceed
abaken Enclitic; ! excel
atiwen Enclitic; ! excel
nalaing Enclitic; ! excellent
nasayaat Enclitic; ! excellent
malaksid Enclitic; ! except
nasursurok Enclitic; ! excessive
surok Enclitic; ! excess
isukat Enclitic; ! exchange
panangsukat Enclitic; ! exchange
kigtoten Enclitic; ! excite
riribuken Enclitic; ! excite
sairen Enclitic; ! excite
panagariwawa Enclitic; ! exclaim
naipamaysa Enclitic; ! exclusive
agparbeng Enclitic; ! excuse
pakawanen Enclitic; ! excuse
pambar Enclitic; ! excuse
parbeng Enclitic; ! excuse
mangiturong Enclitic; ! executive
pngulo Enclitic; ! executive
ehersisyo Enclitic; ! exercise
panagwatwat Enclitic; ! exercise
watwaten Enclitic; ! exercise
ibusen Enclitic; ! exhaust
pagkapsuten Enclitic; ! exhaust
panahipabuya Enclitic; ! exhibit
panangipakita Enclitic; ! exhibit
agbiag Enclitic; ! exist
pagruaran Enclitic; ! exit
ridaw Enclitic; ! exit
ruaran Enclitic; ! exit
rumuar Enclitic; ! exit
lawlawagan Enclitic; ! exonerate
pakawanen Enclitic; ! exonerate
padakkelen Enclitic; ! expand
palawaen Enclitic; ! expand
namnama Enclitic; ! expect
namnamaen Enclitic; ! expect
urayen Enclitic; ! expect
panagbusbos Enclitic; ! expense
agngina Enclitic; ! expensive
nangina Enclitic; ! expensive
napateg Enclitic; ! expensive
napadasan Enclitic; ! experience
padas Enclitic; ! experience
panagpadas Enclitic; ! experiment
experto Enclitic; ! expert
nalaing Enclitic; ! expert
aghibus Enclitic; ! expire
agpusat Enclitic; ! expire
matay Enclitic; ! expire
ipalawag Enclitic; ! explain
agbettak Enclitic; ! explode
sukisoken Enclitic; ! explore
tan-awan Enclitic; ! explore
ibilag Enclitic; ! expose
ipakaammo Enclitic; ! expose
iwarnak Enclitic; ! expose
express Enclitic; ! express
managsarita Enclitic; ! expressive
mannarita Enclitic; ! expressive
ited Enclitic; ! extend
yatiddog Enclitic; ! extend
iddepen Enclitic; ! extinguish
patayen Enclitic; ! extinguish
puyotan Enclitic; ! extinguish
ikkaten Enclitic; ! extract
lekkaben Enclitic; ! extract
manmano Enclitic; ! extraordinary
nakaskasdaaw Enclitic; ! extraordinary
surok Enclitic; ! extra
barayoboy Enclitic; ! extravagant
ihid Enclitic; ! extreme
murdong Enclitic; ! extreme
udi Enclitic; ! extreme
iruar Enclitic; ! extricate
uksuten Enclitic; ! extricate
mata Enclitic; ! eye
puling Enclitic; ! eye
agkidem Enclitic; ! eyes
mata Enclitic; ! eyes
saksi Enclitic; ! eyewitness
kaingingas Enclitic; ! face
rupa Enclitic; ! face
sangen Enclitic; ! face
sumango Enclitic; ! face
kapada Enclitic; ! facsimile
kopia Enclitic; ! facsimile
agpukaw Enclitic; ! fade
matnag Enclitic; ! fail
nakapsut Enclitic; ! faint
nakapuy Enclitic; ! faint
nakudrep Enclitic; ! faint
rumbeng Enclitic; ! fair
napudno Enclitic; ! faithful
nasingpet Enclitic; ! faithful
tinultulad Enclitic; ! fake
bumagsak Enclitic; ! fall
maregreg Enclitic; ! fall
matinnag Enclitic; ! fall
matnag Enclitic; ! fall
natinag Enclitic; ! fall
pannakaregreg Enclitic; ! fall
pannakattuang Enclitic; ! fall
naulbod Enclitic; ! false
nakairuaman Enclitic; ! familiar
naisigud Enclitic; ! familiar
madaydayaw Enclitic; ! famous
maingel Enclitic; ! famous
nadayaw Enclitic; ! famous
sikat Enclitic; ! famous
abaniko Enclitic; ! fan
arapaap Enclitic; ! fancy
darepdep Enclitic; ! fancy
paypay Enclitic; ! fan
paypayan Enclitic; ! fan
adayo Enclitic; ! far
pagbayad Enclitic; ! fare
malayo Enclitic; ! far
mayo Enclitic; ! far
lapog Enclitic; ! farm
talon Enclitic; ! farm
ad-adayo Enclitic; ! farther
otot Enclitic; ! fart
umottot Enclitic; ! fart
uttot Enclitic; ! fart
moda Enclitic; ! fashion
tabas Enclitic; ! fashion
igalot Enclitic; ! fasten
itali Enclitic; ! fasten
napardas Enclitic; ! fast
napartak Enclitic; ! fast
napartak Enclitic; ! fast
nakaal-alinghet Enclitic; ! fatal
gasat Enclitic; ! fate
ama Enclitic; ! father
padi Enclitic; ! father
tata Enclitic; ! father
tatang Enclitic; ! father
nalukmeg Enclitic; ! fat
nalukmeg Enclitic; ! fat
taba Enclitic; ! fat
basol Enclitic; ! fault
biddut Enclitic; ! fault
managdakes Enclitic; ! faulty
nariro Enclitic; ! faulty
maibagay Enclitic; ! favorable
nakaayayo Enclitic; ! favorable
nasayaat Enclitic; ! favorable
asi Enclitic; ! favor
ayat Enclitic; ! favor
ayaten Enclitic; ! favor
ayonan Enclitic; ! favor
idaddaduma Enclitic; ! favorite
patpathen Enclitic; ! favorite
amak Enclitic; ! fear
buteng Enclitic; ! fear
nakaam-amak Enclitic; ! fearful
nakabutbuteng Enclitic; ! fearful
matakot Enclitic; ! fear
takot Enclitic; ! fear
agpayso Enclitic; ! feasible
kapistahan Enclitic; ! feast
padaya Enclitic; ! feast
balahibo Enclitic; ! feather
dutdot Enclitic; ! feather
dutdut Enclitic; ! feathers
kita Enclitic; ! feature
ladawan Enclitic; ! feature
paset Enclitic; ! feature
bayad Enclitic; ! fee
nakapsut Enclitic; ! feeble
nakuttong Enclitic; ! feeble
duolan Enclitic; ! feed
pakanen Enclitic; ! feed
pakanek Enclitic; ! feed
rikna Enclitic; ! feeling
rikna Enclitic; ! feeling
marikna Enclitic; ! feel
riknaen Enclitic; ! feel
rikna Enclitic; ! feel
agpamhan Enclitic; ! feign
makappatay Enclitic; ! felonious
managdakdakes Enclitic; ! felonious
nagulib Enclitic; ! felonious
narikna Enclitic; ! felt
babai Enclitic; ! female
alad Enclitic; ! fence
beddeng Enclitic; ! fence
liklikan Enclitic; ! fend
lisian Enclitic; ! fend
sarapaen Enclitic; ! fend
naunget Enclitic; ! ferocious
nauyong Enclitic; ! ferocious
biruken Enclitic; ! ferret
balsa Enclitic; ! ferry
nataba Enclitic; ! fertile
pasayaaten Enclitic; ! fertilize
patabaen Enclitic; ! fertilize
nagaed Enclitic; ! fervent
narasuk Enclitic; ! fervent
alaen Enclitic; ! fetch
nagasen Enclitic; ! fetch
panangsapul Enclitic; ! fetch
irubbuat Enclitic; ! fete
naangut Enclitic; ! fetid
nabungsot Enclitic; ! fetid
napudot Enclitic; ! feverish
bassit Enclitic; ! few
sumagmamano Enclitic; ! few
nalupoy Enclitic; ! fickle
gitara Enclitic; ! fiddle
mabutbuteng Enclitic; ! fidgety
nerbioso Enclitic; ! fidgety
taltalon Enclitic; ! field
tay-ak Enclitic; ! field
nakabutbuteng Enclitic; ! fiendish
narungsot Enclitic; ! fierce
maikalima Enclitic; ! fifth
limapulo Enclitic; ! fifty
agapa Enclitic; ! fight
apa Enclitic; ! fight
dangadang Enclitic; ! fight
lumaban Enclitic; ! fight
ranget Enclitic; ! fight
pangngarig Enclitic; ! figurative
bilang Enclitic; ! figure
kita Enclitic; ! figure
ladawan Enclitic; ! figure
garugad Enclitic; ! file
salansan Enclitic; ! file
urnos Enclitic; ! file
urnosen Enclitic; ! file
manglapped Enclitic; ! filibuster
mangraut Enclitic; ! filibuster
punnuen Enclitic; ! fill
pelikula Enclitic; ! film
yakayaken Enclitic; ! filtrate
paynal Enclitic; ! final
pagpastrekan Enclitic; ! finance
pirak Enclitic; ! finance
biruken Enclitic; ! find
sapulen Enclitic; ! find
napino Enclitic; ! fine
nasayaat Enclitic; ! fine
ramay Enclitic; ! finger
ramay Enclitic; ! fingers
kamaudlanan Enclitic; ! finish
naalpas Enclitic; ! finished
gibusan Enclitic; ! finish
leppasen Enclitic; ! finish
panaakalpas Enclitic; ! finish
apoy Enclitic; ! fire
apuy Enclitic; ! fire
pudot Enclitic; ! fire
puor Enclitic; ! fire
uram Enclitic; ! fire
nakilnet Enclitic; ! firm
natangken Enclitic; ! firm
natibker Enclitic; ! firm
immuna Enclitic; ! first
maturog Enclitic; ! first
sinapol Enclitic; ! first
umuna Enclitic; ! first
bakkalaw Enclitic; ! fish
lames Enclitic; ! fish
panagkalap Enclitic; ! fish
rumbeng Enclitic; ! fit
tabas Enclitic; ! fit
lima Enclitic; ! five
limera Enclitic; ! five
sinko Enclitic; ! five
agtarimaan Enclitic; ! fix
tarimaanen Enclitic; ! fix
agpukaw Enclitic; ! fizzle
nakapsut Enclitic; ! flabby
nakapuy Enclitic; ! flabby
bandera Enclitic; ! flag
wagayway Enclitic; ! flag
apuy Enclitic; ! flame
gil-ayab Enclitic; ! flame
gumilhil-ayab Enclitic; ! flaming
maur-uram Enclitic; ! flaming
raniag Enclitic; ! flare
silnag Enclitic; ! flare
pananghilap Enclitic; ! flash
silap Enclitic; ! flash
silaw Enclitic; ! flash
apag-kanito Enclitic; ! flashy
napartek Enclitic; ! flashy
nasimpa Enclitic; ! flat
patag Enclitic; ! flat
agtaray Enclitic; ! flee
ussoban Enclitic; ! fleece
pumanaw Enclitic; ! flee
apag-biit Enclitic; ! fleeting
apagkanito Enclitic; ! fleeting
apagdarikmat Enclitic; ! fleeting
napartak Enclitic; ! fleet
lasag Enclitic; ! flesh
unod Enclitic; ! flesh
agandaandap Enclitic; ! flickering
agkudrep-kudrep Enclitic; ! flickering
agpapatay Enclitic; ! flickering
panagtayab Enclitic; ! flight
naingpis Enclitic; ! flimsy
narukop Enclitic; ! flimsy
ibato Enclitic; ! fling
ibeleng Enclitic; ! fling
garampang Enclitic; ! flippant
nagaraw Enclitic; ! flippant
garampang Enclitic; ! flirt
sayet Enclitic; ! flirt
balsa Enclitic; ! float
karo Enclitic; ! float
lumtaw Enclitic; ! float
lumutang Enclitic; ! float
tumpaw Enclitic; ! float
agtipon Enclitic; ! flock
agu-urnong Enclitic; ! flock
pangen Enclitic; ! flock
taripnong Enclitic; ! flock
timpuyog Enclitic; ! flock
tipon Enclitic; ! flock
nalayus Enclitic; ! flooded
lay&&& Enclitic; ! flood
layos Enclitic; ! flood
kadsaaran Enclitic; ! floor
datar Enclitic; ! floor
nalasbang Enclitic; ! florid
nasabong Enclitic; ! florid
nasileng Enclitic; ! florid
belaay Enclitic; ! flour
bilaay Enclitic; ! flour
harina Enclitic; ! flour
aglanto Enclitic; ! flourish
umadu Enclitic; ! flourish
agayos Enclitic; ! flow
agayus Enclitic; ! flow
agsabsabong Enclitic; ! flowering
masetas Enclitic; ! flowering
sabong Enclitic; ! flower
sabung Enclitic; ! flower
iagos Enclitic; ! flow
umagos Enclitic; ! flow
agbaliw Enclitic; ! fluctuate
agbinnabinnat Enclitic; ! fluctuate
paggarawen Enclitic; ! fluctuate
nalaing Enclitic; ! fluent
nasayud Enclitic; ! fluent
natarabit Enclitic; ! fluent
lana Enclitic; ! fluid
agpayakpak Enclitic; ! flush
agpayakpak Enclitic; ! flutter
ahilaw Enclitic; ! fly
agtayab Enclitic; ! fly
liparin Enclitic; ! fly
lumipad Enclitic; ! fly
ngilaw Enclitic; ! fly
burek Enclitic; ! foam
munurek Enclitic; ! foam
angep Enclitic; ! fog
naangep Enclitic; ! foggy
naulep Enclitic; ! foggy
atipaen Enclitic; ! foil
paayen Enclitic; ! foil
kupinen Enclitic; ! fold
ikulpi Enclitic; ! fold
masakup Enclitic; ! fold
sakup Enclitic; ! fold
sumursurot Enclitic; ! following
naayat Enclitic; ! fond
nadungngo Enclitic; ! fond
kalukwan Enclitic; ! foolish
kawaw Enclitic; ! fool
maag Enclitic; ! fool
tungang Enclitic; ! fool
saka Enclitic; ! foot
maiparit Enclitic; ! forbidden
iparit Enclitic; ! forbid
pigsa Enclitic; ! force
pilit Enclitic; ! force
piliten Enclitic; ! force
baybay-an Enclitic; ! forego
ibbatan Enclitic; ! forego
unnaan Enclitic; ! forego
gangannaet Enclitic; ! foreign
immuna Enclitic; ! foremost
umuna Enclitic; ! foremost
sango Enclitic; ! fore
bakir Enclitic; ! forest
kakayuan Enclitic; ! forest
kabakiran Enclitic; ! forest
umuna Enclitic; ! fore
ibbatan Enclitic; ! forfeit
pukawen Enclitic; ! forfeit
pandayen Enclitic; ! forge
managlipat Enclitic; ! forgetful
lipatan Enclitic; ! forget
lipaten Enclitic; ! forget
tuladen Enclitic; ! forge
pakawanen Enclitic; ! forgive
pakawan Enclitic; ! forgive
pakawanam Enclitic; ! forgive
kustilyo Enclitic; ! fork
tinedor Enclitic; ! fork
naliday Enclitic; ! forlorn
nadayaw Enclitic; ! formal
immun-una Enclitic; ! formerly
ladawan Enclitic; ! form
langa Enclitic; ! form
baybay-an Enclitic; ! forsake
lipaten Enclitic; ! forsake
kuartel Enclitic; ! fort
porte Enclitic; ! fort
garison Enclitic; ! fort
sumungad Enclitic; ! forthcoming
siruruar Enclitic; ! forth
nagasat Enclitic; ! fortunate
ipawit Enclitic; ! forward
dakes Enclitic; ! foul
naangot Enclitic; ! foul
nangipatakder Enclitic; ! founder
apatira Enclitic; ! four
kuatro Enclitic; ! four
maikauppat Enclitic; ! fourth
uppat Enclitic; ! four
bilit Enclitic; ! fowl
manok Enclitic; ! fowl
oso Enclitic; ! fox
managsuitik Enclitic; ! foxy
manangalilaw Enclitic; ! foxy
paset Enclitic; ! fraction
pirhis Enclitic; ! fraction
rissik Enclitic; ! fraction
narasi Enclitic; ! fragile
narukop Enclitic; ! fragile
naayamu-om Enclitic; ! fragrant
nabanglo Enclitic; ! fragrant
narukop Enclitic; ! frail
balabala Enclitic; ! frame
kuadro Enclitic; ! frame
paragpag Enclitic; ! frame
nabatad Enclitic; ! frank
napno Enclitic; ! fraught
aywaywaya Enclitic; ! free
lumami-is Enclitic; ! freeze
mabuô Enclitic; ! freeze
manigas Enclitic; ! freeze
tumangken Enclitic; ! freeze
karga Enclitic; ! freight
masangan Enclitic; ! frequent
nalasbang Enclitic; ! fresh
sadiwa Enclitic; ! fresh
agsennaay Enclitic; ! fret
nalam-ek Enclitic; ! frigid
nalamiis Enclitic; ! frigid
tukak Enclitic; ! frog
tukak Enclitic; ! frog
ay-ay-ayam Enclitic; ! frolic
rambak Enclitic; ! frolic
mannaki-ayayam Enclitic; ! frolicsome
