25 cent piece	binting
disappear	umawanawan
disapper	agpukaw
disapper	panagawan iti imatang
disappointed	maikapis
disappointment	pannakapaay
disappointment	pannakaupay
disappoint	paayen
disapprove	keltayen
disapprove	saan a kanunongan
disarm	ikkatan iti armas
disaster	didigra
disaster	dumteng a rigat
disaster	riribuk
disburse	gastusen
disburse	ibayad
discharge	ikkaten
discharge	ipaltog
discharge	iwayang
discharge	panangikkat
discharge	panangiwayang
discipline	adal
discipline	biag
discipline	dissiplina
discipline	pannakalsuro
disclosure	panangilatak
disclosure	pannakairakurak
disclosure	pannakanwaragawag
discord	riri
discord	saan a ppanagtunos
discount	tawaran
discourage	mapakapsuten ti nakem
discourage	upayen
discover	biroken
discovery	pannakabirok
discovery	pannakabuktal
discreet	mapagtalkan
discreet	naannad
discriminate	ikkaten (dahiti saan a rumbeng)
discriminate	pileen
discussion	pagsaritaan
discussion	trataren
discuss	patang
discuss	salaysayen
discuss	saritaen
disdain	guraen
disdain	laisen
disease	sakit
disease	tuko
disembark	dumsag
disembark	sumanglad
disgrace	disgrasia
disgraceful	nakababin
disgrace	matulawan iti dalaw
disgrace	mulit
disgruntled	masimronan
disgruntled	masuron
disguise	panang-limlimo
disgust	alas
disgust	nasuron
disgust	nauma
dish	kanen
dishonest	manangalilaw
dishonest	ubod
dish	pinggan
dish	sida
dislike	kagurgura
dislike	saan a kayat
dislocated body part	nablo (bolo)
disloyal	naulbod
disloyal	saan a napudno
dismissal	pannakapapanaw
dismiss	ikkaten
dismiss	papanawen
dismount	bumaba
dismount	umulog
disobedience	di-pagsunod
disobedience	pagsuway
disorderly	awan urnos
disorderly	nariribuk
disorderly	saan nga agsusurot
disorder	riribuk
disown	laksiden
dispense	dispensarem
display	ipakaammo
display	ipakita
display	pabuya
displeased	masuron
displeased	napaay
displeased	nasair
disposal	dasig
disposal	pagatayan
disposal	panangited
dispose	ilako
dispose	itden
dispose	panangisaad
dispute	riri
dispute	susik
disrupt	gupden
disrupt	singaen
dissatisfaction	saan a pannakapnek
dissent	saan a kamanunong
dissent	sumupiat
dissolve	runawen
dissolve	tunawen
dissuade	pasardengen
dissuade	upayen
distance	baet
distance	kaadayo
distant	adayo
distasteful	nakasusuron
distasteful	saan a makaay-ayo iti raman
distinct	naisupadi
distinct	nalawag
distinct	nalitnaw
distinguished	nalatak
distract	guyoden ti ania man a paset
distract	rirbuken
distract	sungaen
distress	pasamak
distress	rigat
distress	sakit
distress	tuok
distribute	ibunong
distribute	iburay
distribute	iwaras
distrust	panagduadua
distrust	saan a panagtalek
disturbance	semsem
disunite	pagringgoren
disunite	pagsisinaen
ditch	kanal
ditch	pagayusan ti danum
diva	donya
dive	agsuek
dive	bumatok
diverge	agsasabali a diresion
diverge	umadayo
diverse	nadumaduma
divert	isiasi
divert	liwliwaen
divest	paidaman
divest	ussoban
divide	bingayen
divine	Nadiosan
divine	NAsantuan
divine	natan-ok
divisibilty	pannakabingay-bingay
divorce	diborsio
divorce	panagsina
divulge	ipalgak
divulge	irakurak
dizziness	pannakaulaw
dizziness	ula
dizziness	ulaw
dizzy	maulaw
do	agaramid
do	aramid
do	aramiden
docile	nalaka nga isuro
docile	nalaka nga iturong
docile	natulnog
dockyard	pagaramidan wenno pagtarimaanan iti bapor
doctor	mangngagas
doctrine	doktrina
doctrine	pammati
document	kasuratan
document	dokumento
dodge	liklikan
dodge	lisian
dog	aso
dog	hoseph or stuppy
doing	ubraem
do	karo
doleful	nakuyem
doleful	naladingit
doleful	nasipnget
doll	munieka
doll	munieka
doll	tirtiris
domain	kukua
domain	daga
domain	iturayan
domain	masaksakupan
dome	bubongan
domesticated	pinaamo
domesticated	tinaraken
domestic	maipapan iti uneg ti bala
domestic	naamo
domicile	balay
domicile	pagtaengan
domicile	taeng
dominant	mangnangruna
dominant	nangato
dominant	naturay
dominion	kukma
dominion	turay
donate	daponyo
done	naaramid
don	ikawes
don	ipadas
don	isuot
donor	ti mangisagut
doom	dusa
doom	gasat
doom	patay
doom	rigat
doorknob	pahiggaman iti ridaw
doorlatch	balunet wenno sahiped ti ridaw
door	ridaw
door	ruangan
door	serkan
dope	alilawen
dope	angawen
dope	ulawen
dose	kaadu wenno sukat ti panagagas
dot	tulnek
double-cross	alilawen
double	dua
double	mamindaa
doubt	agduadua
doubtful	agatap
doubtful	pagduaduaan
doubtless	saan a pagduaduaan
doubt	sa
doubt	saan nga agtalek
dove	kalapati
dove	pagaw
dovetail	pagtumpongen
downcast	nakamattider
downcast	nakamuleng-leng
downcast	naliday
down	ebomaba
downright	naan-anay
downright	nabatad
downstairs	arsadan ti agdan' baba ti agdan
downstairs	ngatung
downwards	agpababa
dozen	sangadosena
dozen	sangapulo ket dua
draft	tseke
draft	pul-oy ti angin; kameng ti armada; bilin maipapan it panagbayad
draftsman	agar-aramid iti plano
dragnet	iket a pagkalap
dragnet	pagtiliw
dragnet	pangsilo
dragonfly	simotsimot
dragon fly	tuwato
dragonfly	tuwato
drag	uloden
drainage	kali
drainage	kanal
drainage	pagayusan ti danum
drain	karsan
drain	paatianan
drama	pabuya
dramatize	ipabuya
drama	sarsuela
drape	abbong
drape	kortina
draw	dutduten
drawer	ahiladladawan
drawer	kahon ti lamisaan
draw	iladawan
drawl	nabanayat a panagasao
dread	amak
dread	buteng
dreadful	nakaal-aliaw; nakaal-alinghet
dream	agtagainep
dream	arapaap
dream	arapaa; parmata
dream	inep
dream	tagtagainep
dress	bado
dress	kawesan
dress	lupot
dressmaker	agar-amid iti bado
dressmaker	agdadait
dress	pagankatan
dress shop	pagdaitan iti bado
dress shop	paglakkuan iti bado
dress	sukatan
dress	tarimaanen
dressy	naparammag
dried	nagango
drifting	maisursurot
drifting	mayan-anud
drift	mayanud
drift	pannakaisurot iti ayus
drink	agtomar
drink	inumen
drink	inumin
drink	uminom
drink	uminum
drip	agtedted
drip	agtedtedted
drip	panagtedted
drive	agdalus
driver	tsoper
driver	kotsero
drizzle	agarbis
drizzle	arbis
droop	agdumdumog
droop	agrukrukob
drop	ibbatan
drop	iregreg
drop	itinnag
drought	ringngat
drown	ilemmes; ipauneg iti danum
drown	malmes
drown	malmes (lemmes)
drowsy	makaturturog makadungdungsa
drug	agas
drug	pangpaturog
drugstore	botika
drum	bitohen
drum	patiten
drum	tambor
drum	tugtohen
drunkard	mammartek
drunkard	manag-inom
drunk	nabartek
drunk	nabartek
drunk	nabartik
drunk	naulaw
dry	aggango
dry	namaga
dry season	ahigaaw
dual	duaan
dubious	pagduaduaan
duck	itik
duck	itik
duck	pato
duck waddle	kinni-kinni
ductile	mabennat
ductile	maunnat
due	agsipud
due	gapu
dull	agsasadut
dull	mapuról
dull	nangudel
dull	pudpod
dumb	kuneng
dumb	tabed
dumb	tubed
dummy	bambanti
dummy	inaramid a sinantatao
dump	ibaba
dump	ipuruak
dung	takki
duplicate	kapada
duplicate	maikadua
durable	nalagda
durable	natibker
duration	kabayatanna
duration	panagpaut
during	bayat
during	kabayatan
dusky	nakuyem; nasipnget; nakudrep
dust	alikabok
dust	dalusan
dust	ruhit
dust	sagadan
dust	tapok
dusty	natapok; naruhit
dusty	natapok
duty	buis
duty	rebbengen
dwarf	ansisit; bassit a tao
dwarfish	bassit
dwarfish	pandek
dwell	agtaeng
dwell	agyan
dwelling	balay
dwelling	pagtataengan
dwelling place	pahigyanan
dye	maris
dye	tina
dying	agbubugsot
dying	agbugsut
dying	matmatay
dynamic	napigsa
dyspepsia	saan a pannakarunaw ti kinan
each	tunggal maysa
eager	mailiw
eager	nagagar
ear	lapayag
earlobe	piditpidit
early	nasapa
early	sapa
earmark	ilasin
earmark	markaan
ear	naimas
earnest	napasnek
earnings	nasapulan
earnings	sueldo
earring	aritos
earrings	aritos
ears	lapayag
earth	daga
earth	lubong
earth	lupa
earthly	naigdagaan
earthly	nailulongan
earthquake	ginghined
earthquake	gingined
earthworm	alumbayad
earwax	ruhit ti lapayag
ease	nam-ay
ease	panahinana
easier	nalaklaka
easily	nalaka
east	daya
eastern	akindaya
eastern	dayaen
easter	Paskua ti panagungar ni Cristo
easy	nalaka
easy	nalag-an
easy	nalaka
eat	aglamot
eat	kain
eat	kainin
eat	kumain
eat	lamunin
eat	let's eat
eat	lumamon
eat	mangan
eavesdrop	mangdengngeg; mangalimadamad
ebony	nangisit; balatinaw
eccentric	karkarna
echo	gumluong
eclipse	eklipse
eclipse	panagsabet ti bulan ken init
economy	panagsalimetmet
ecstacy	liliwa
ecstacy	ragragsak
eczema	gudgod
eddy	alipugpog
edge	ihid
edge	iking
edge	mateptep
edgy	managbuteng
edible	makan
edible	mamakan
edible	uray ania a makan
edict	bilin
edict	linteg
edifice	dakkel a balay
editor	editor
editor	mangimaton iti periodiko
educate	isuro pagadalen
educate	suruan
education	adal
education	sursuro
educator	maestro
educator	mahisursuro
eel	igat
eerie	nakabutbuteng
eerie	nakam-amak
effective	nakaro
effective	napigsa
effect	nagtungpalan; gubuay
effeminate	binabai
effeminate	kasla babai
efficiency	kabaelan a mangitungpal iti gandat
efficiency	kinaimbag
effort	kabaelan; panangipakat iti pigsa
effort	pigsa
effrontery	kinatured nga agaramid iti nagubsang
effulgence	ladawan
effulgence	pintas
effulgence	raniag
egg	itlog
eggplant	tarong
eighteen	sangapulo ket walo
eighteenth	maikawalo
eight	maikawalo
eight	otso
eight	walo
eight	walora
either	uray ania iti dua
ejaculate	kelat a panangibaga
eject	paadayuen
eject	pagtalawen
elapse	lumabas
elastic	agbennat
elastic	nalukneng
elated	naragsakan
elbow	siko
elbow	siko
elder	apo
elder brother or sister	kaka
elder	inauna
elder	nataengan
election	panagpili
elector	elektor; pumipili
elect	pilien
electricity	elektrisidad
electrify	pannakaaramat ti elektrisidad; kelaaten
electrocute	papatayen babaen iti elektrisidad
elegant	napintas; nadaeg
elegant	nataraki
elementary	nasken nga anag
elementary	pangrugyan
element	elemento
element	nangangaruna a paset ti uray ania
elevate	dayawen
elevate	ingato
elevation	kangato
elevator	makina a pangingato; elebator
eleven	sangapulo ket maysa
eleven	sangpulo ket maysa
eleventh	maikasangapulo ket maysa
eligible	rumbeng
eligible	tumutop
eliminate	ikkaten
eliminate	yadayo
elite	napili; tampok; kapintasan
elongation	kastiddog
elope	panaglibas iti dua nga agayan-ayat
elope	panagtaray
eloquence	ti naurnos a panagsarita
else	wenno
elsewhere	sabali a disso
elusive	nagalis
elusive	nasikap
elusive	nasiglat
emaciated	nakttong
emancipation	panagmaymaysa
emancipation	panagwaywayas
emancipation	pannakaruk-at
embalm	pagpauten (ti bangkay)
embarassed	nabainan
embarassment	pannakapabalu
embarrassing	nakababain
embezzle	saan a maikanada a panangbusbos iti naikumit a kuarta
emblem	taada
embrace	arakup
emcumbrance	lapped
emcumbrance	pangdagsen
emerge	agparang
emerge	lumgak
emerge	lumtaw
emergency	narikut a panawen
emigrant	gangganaet
emigrant	taga sabali a daga
emigrate	mapan iti sabali a daga
emigrate	simmanglad
eminence	kinalaktak
eminence	maingel
eminent	nalatak
emotion	rikna
emperor	emperador
empire	pagarian
employ	alaen; iserak; aramaten
employee	empleado
employee	trabahador
employer	akinkukua iti pasde a pagtrabahuan
employer	ti agpapatrabaho
employment	pagsapulan
employment	pagtrabahuan
emporium	pagtahilakuan
empty	adh
empty	alawaaw
empty	kawaw
empty	naawangan
emulate	pagpadaen
emulate	pagtuladen
enable	ikkan iti bael
enable	pabigsaen
enact	aramiden; ipasdek a kas linteg;
encircle	lawlawen
encircle	likmuten
enclose	isapit; ilukon
enclosure	koral
enclosure	nalawlaw
encore	panangulit
encounter	panagsabat
encounter	panagsarak
encounter	sarakan
encouragement	panangpakired; panangay-ayo
encourage	papigsaen ti nakem
encourage	paragsaken; ikkan iti namnama
encroach	sereken
endanger	iturong iti pagpeggadan
endeavor	gunoden
endeavor	padasen
end	gibus
end	gibusna
endless	agnanayon; awan patinggana
end	murdong
end	pungto
endurance	panaganus
endurance	panahibtur
endure	anusan; ibturan
enduring	napaut
enema	labatiba; inyeksion
enemy	kabusor
enemy	kabusor
energetic	napigsa
energy	kabaelan
energy	pigsa
enforce	ipaganethet
enforce	ipatungpal
enforcement	panangipatungpal
enforcement	panangpasurot
engage	asikasuen
engagement	tulag
engage	tamingen
engaging	nakaay-ayo
engaging	nalailo
engineer	enginiero
engineer	ipamuspusan
engineer	makinista
engine	makina
engulf	sakupen
engulf	tilmunen
enhance	padakkelen
enhance	pasayaaten; ingato
enigma	banag a di maamiris
enigma	burburtia
enjot	panagragsak
enjot	panangrambak
enjoy	agganas
enlarge	ipalawa
enlargement	pannagpakkdel
enlarge	padakkelen
enliven	liwliwaen
enliven	paragsaken
enormous	adu; naruay
enormous	dakkel unay
enough	kalalainganna
enough	umanay
enrage	pagpungtoten
enrage	paungeten
enroll	agpailista
enter	sumbrek; umuneg
enter	sumrek
entertainment	pagliwliwaan
entertain	sangen; liwliwaen
enthusiasm	ayat
enthusiasm	panangipateg
enthusiasm	ragsak
entice	awisen
entire	isu amin
entire	sapasap
entitle	addaan kalintengan
entitle	panagtahikua; itden ti gudaway
entrance	pagnaan
entrance	serkan
entreat	makikakaasi
entreat	makisarita
entreaty	panagpakpakaasi
entry	ruangan; pagserkan
entwine	kunikonen
entwine	ipultipol
enumeration	panagbibilang
enumeration	pananginagan
envelop	bungonen
envelope	kobering
envelope	sobre
envious	naagum
envious	naapal
environment	adda iti lawlaw
environment	aglawlaw
envy	apal
envy	imon
envy	umapal
epic	attiddog a daniw
epic	maysa a daniw
epidemic	agsaknap a sakit
epidemic	angol
epidermis	kudil
episode	kapitulo
episode	paset
equal	kapada
equal	katulad
equivalent	kapada
equivalent	kaparis
equivalent	katulad
erase	ikkaten
erase	pugasen
erase	punasan
eraser	pagbura
eraser	pagdalus
erasure	panmakadalus
erasure	pannakapunas
erection	agkinod
erection	imptog
erect	lintehen
erect	pannakaipatakder
err	agbasol; agbiddut
errand	bilen mensahe
error	riro; biddut
escape	aglibas
escape	agtalaw
escort	bayabay
escort	kadua
escort	guardia
essence	banglo
essence	nag-uneg
essential	masapul
essential	napatoeg
establish	mangipatakder
estate	kukua
estate	daga
estate	panagtahikua
esteem	panagdayaw
esteem	panagraem; pattapatta
esteem	pateg; gatadan iti nangato
estimate	adalen
estimate	pattapattaen
estimate	pugto
estimate	pugtuan
eternal	agnanayon
etiquette	pagbatayan iti tignay iti himong
evaporation	panagmaga
even	agpahisu
even	agpapada
evening	rabii
evening	sumipnget
event	maaramid
event	pasamak
even	uray
ever	agnanayon
everlasting	agnanayon
everlasting	awan patinggana
ever	uray ania a kanito
ever	uray kaano man
everybody	tunggal maysa
everybody	tunggal tao
everything	amin a banag
everything	tunggal maysa a banag
every	tunggal maysa
everywhere	amin a disso
everywhere	sadino man
eviction	panangpaalis
eviction	panangpatalaw
evidence	pammaneknek
evident	nalawag
evident	nalitnaw
evil	dakes
evil	diablo
evil	naranggas
evince	ipakaamo
evince	ipadlaw
evolution	panagbaliw ti kasasaad
evryone	isu amin
evryone	tunggal maysa
exact	apag-isu
exact	awan kurangna
exacting	managsapul
exacting	nainget
exaggerate	padakkelen
exaggerate	pasawe
exaltation	panagdayaw
exaltation	panangingato
examination	examen
examination	pangsubukan iti laing
examination	subok
examiner	mangkita
examiner	mangsubok
examine	subuken
examine	suoten
example	ehemplo
example	kaspagarigan
example	pagarigan
example	pagwadan
example	pangyarigan
example	tuladen
exasperating	nakasursuron
exceedingly	adunay
exceedingly	nalabes
exceed	labes
exceed	labsan
excel	abaken
excel	atiwen
excellent	nalaing
excellent	nasayaat
exception	malaksid
exception	pannakalaksid
except	malaksid
excessive	nasursurok
excess	surok
exchange	isukat
exchange	panangsukat
excite	kigtoten
excitement	maklaat
excitement	pannakakigtot
excite	riribuken
excite	sairen
exclaim	panagariwawa
exclusive	naipamaysa
excrement	takki
excuse	agparbeng
excuse	pakawanen
excuse	pambar
excuse	parbeng
executive	mangiturong
executive	pngulo
exercise	ehersisyo
exercise	panagwatwat
exercise	watwaten
exhaust	ibusen
exhaust	pagkapsuten
exhibit	panahipabuya
exhibit	panangipakita
exist	agbiag
existence	kaadda
existence	panagbiag
exit	pagruaran
exit	ridaw
exit	ruaran
exit	rumuar
exodus	iyaadyo
exodus	panagruar
exonerate	lawlawagan
exonerate	pakawanen
expand	padakkelen
expand	palawaen
expatriate	papanawen iti maysa nga ili
expectation	namnama
expectation	segga
expect	namnama
expect	namnamaen
expect	urayen
expedition	panagbaniaga
expense	panagbusbos
expensive	agngina
expensive	nangina
expensive	napateg
experience	napadasan
experience	padas
experiment	panagpadas
expert	experto
expert	nalaing
expiration	gibus
expiration	ipapatay
expiration	pannakapugsat
expire	aghibus
expire	agpusat
expire	matay
explain	ipalawag
explode	agbettak
exploit	aramaten iti pahimbagan
explore	sukisoken
explore	tan-awan
export	ilako iti sabali a daga
export	lako iti sabali a pahilian
expose	ibilag
expose	ipakaammo
expose	iwarnak
express	express
expressive	managsarita
expressive	mannarita
express	napartak a biahe
extend	ited
extend	yatiddog
extent	kalawa
extent	kantiddog
extinguish	iddepen
extinguish	patayen
extinguish	puyotan
extort	butngen tapno maala ti kuarta
extract	ikkaten
extract	lekkaben
extraordinary	manmano
extraordinary	nakaskasdaaw
extra	surok
extravagant	barayoboy
extreme	ihid
extreme	murdong
extreme	udi
extricate	iruar
extricate	uksuten
eyeball	bola-bola ti mata
eyebrow	kiday
eyebrow	kiday-kiday
eyelash	kurimatmat
eyelash	kurimatmat
eyelid	kalub ti mata
eye	mata
eye	puling
eyes	agkidem
eyes	mata
eyewitness	nakakita leksion
eyewitness	saksi
fable	parbo a sarita a makaisuro iti leksion
fabric	abel
fabrication	panagaramid
fabrication	pinarpartuat
fabric	lupot
facade	akinsango a paset ti patakder
face	kaingingas
face	rupa
face	sangen
face	sumango
facility	kinalaka
facility	kinasayud
facsimile	kapada
facsimile	kopia
factory	pabrika
factory	pagpartuatan
fact	ti puduo
faculty	dahiti ahisursuro
faculty	mamaestro
fade	agpukaw
fail	matnag
fail	saan a natungpal
failure	pannakaabak
failure	pannakatnag
faint	maawanan iti puot
faint	nakapsut
faint	nakapuy
faint	nakudrep
fair	napintas maikaayo-ayo
fair	rumbeng
fairy	enkantado
fairyland	taeng wenno lubong dahiti enkantado
faithful	napudno
faithful	nasingpet
faithfulness	kinapudno
faith	pammati
faith	pammuti
faith	talek
fake	saan a pudno
fake	tinultulad
falicitate	kablaawen
falicitate	rukban
fall at roots	nabual
fall	bumagsak
fall	maregreg
fall	matinnag
fall	matnag
fall	natinag
fall	pannakaregreg
fall	pannakattuang
false	naulbod
false	saan a pudno
false	saan nga gpayso
fame	dayaw
fame	nasayaat a pakasaritaan
familiar	nakairuaman
familiar	naisigud
family	kaamaan
family	kaman
family	pamilia
family	nagannak
family	pamilya
famine	bisin
famine	rigat
famous	madaydayaw
famous	maingel
famous	nadayaw
famous	sikat
fan	abaniko
fanatical	mamati la unay
fancy	arapaap
fancy	darepdep
fanfare	rambak a nalabes
fan	paypay
fan	paypayan
fantastic	kasla di agpayso
fantastic	saan a nakappapati
far	adayo
farce	pabuya a makapakatawa
fare	bayad ti panaglugan
fare	pagbayad
farewell	pakada
far	malayo
far	mayo
farmer	mannalon
farm	lapog
farm	talon
farther	ad-adayo
fart	otot
fart	umottot
fart	uttot
fascination	pannakaawis
fascination	pannakaliwliwa
fashion	moda
fashion	tabas
fasten	igalot
fasten	itali
fast	napardas
fast	napartak
fast	napartak
fast	saan a pannangan
fatal	nakaal-alinghet
fate	gasat
father	ama
father-in-law	katugangan (a lalaki)
father	padi
father	tata
father	tatang
fat	nalukmeg
fat	nalukmeg
fat	taba
faucet	gripo
fault	basol
fault	biddut
faulty	managdakes
faulty	nariro
favorable	maibagay
favorable	nakaayayo
favorable	nasayaat
favor	asi
favor	ayat
favor	ayaten
favor	ayonan
favorite	idaddaduma
favorite	patpathen
fear	amak
fear	buteng
fearful	nakaam-amak
fearful	nakabutbuteng
fear	matakot
fear	takot
feasibility	pannakabalin
feasible	agpayso
feast	kapistahan
feast	padaya
feat	kabaelan
feather	balahibo
feather	dutdot
feathers	dutdut
feathey	nadutdot
feathey	nalamuyot
feature	kita
feature	ladawan
feature	paset
february	Febrero
feces	takki
fee	bayad
feeble	nakapsut
feeble	nakuttong
feed	duolan
feed	pakanen
feed	pakanek
feeling	rikna
feeling	rikna
feel	marikna
feel	riknaen
feel	rikna
feet	napakil ti saka
feet	saksaka
feign	agpamhan
feign	parbo a pamarang
felonious	makappatay
felonious	managdakdakes
felonious	nagulib
felt	narikna
female	babai
fence	alad
fence	beddeng
fend	liklikan
fend	lisian
fend	sarapaen
fern	pako
ferocious	naunget
ferocious	nauyong
ferret	biruken
ferret	tapno yalis
ferry	balsa
ferry	lugan a mangibalasiw
fertile	nasayaat a daga
fertile	nataba
fertilize	pasayaaten
fertilize	patabaen
fervent	nagaed
fervent	narasuk
festivity	alaen
festivity	bunahen
fetch	alaen
fetch	nagasen
fetch	panangsapul
fete	irubbuat
fetid	naangut
fetid	nabungsot
fetish	anting-anting
fetish	laing
fever	gurigor
feverish	addaan gurigor
feverish	napudot
few	bassit
few	sumagmamano
fickle	nalupoy
fiction	sarita a saan a pudno
fiddle	gitara
fidelity	panagtalek
fidgety	mabutbuteng
fidgety	nerbioso
field	taltalon
field	tay-ak
fiendish	kasla sairo
fiendish	nakabutbuteng
fierce	narungsot
fifteenth	maikasangapulo ket lima
fifth-column	agsisilim
fifth-column	espia
fifth	maikalima
fifty	limapulo
fifty	lima pulo
fight	agapa
fight	apa
fight	dangadang
fight	lumaban
fight	ranget
fig	maysa a kita ti kayo
fig tree	baliti
figurative	pangngarig
figure	bilang
figurehead	sinan-tao
figure	kita
figure	ladawan
file	garugad
file	salansan
file	urnos
file	urnosen
filibuster	manglapped
filibuster	mangraut
fill	punnuen
film	pelikula
filth	ruhit
filtrate	yakayaken
finacier	ahihighem ti pirak
finacier	kapitalista
finacier	mangibusbos
final	paynal
final	ti kamaudian
final	ti maudi
finance	iti sanikua
finance	pagpastrekan
finance	pirak
find	biruken
find	sapulen
fine	napino
fine	nasayaat
fingernail	koko
fingernail	kuko
fingerprints	lemma dahiti ramay
finger	ramay
fingers	ramay
finger wave	kulot babaen ti ima
finish	kamaudlanan
finished	naalpas
finish	gibusan
finish	leppasen
finish	panaakalpas
fire	apoy
fire	apuy
firebrand	aluten
firebrand	beggang
firefly	kulalanti
fireman	bombero
fire	pudot
fire	puor
fire	uram
firewood	kayo
firewood	sungrod
fireworks	pannakasindi ti kultis
firm	nakilnet
firm	natangken
firm	natibker
firmness	katangken
firmness	katikber
first	immuna
first	maturog
first	sinapol
first	umuna
fish	bakkalaw
fisherman	mangngalap
fishery	pagkalapan
fishery	pagtarakaan iti ikan
fish	lames
fish	panagkalap
fist	gemhem
fistic	maipapan iti hemhem
fit	rumbeng
fit	tabas
fittings	arkos
fittings	pannaka-urnos
five	lima
five	limera
five	sinko
fix	agtarimaan
fix	tarimaanen
fixture	kasapulan
fixture	sab-it
fizzle	agpukaw
flabby	nakapsut
flabby	nakapuy
flag	bandera
flag	wagayway
flame	apuy
flame	gil-ayab
flaming	gumilhil-ayab
flaming	maur-uram
flap	agsawasaw a paset ti akkub
flare	raniag
flare	silnag
flashlight	bumbilia
flash	pananghilap
flash	silap
flash	silaw
flashy	apag-kanito
flashy	napartek
flat coconut	bukarelyo
flat	nasimpa
flat	patag
flatter	nalabes a panangidayaw
flea	timel
flee	agtaray
fleece	rabsuten ti sanikuana
fleece	ussoban
flee	pumanaw
fleeting	apag-biit
fleeting	apagkanito
fleeting	apagdarikmat
fleet	napartak
flesh	lasag
flesh	unod
flickering	agandaandap
flickering	agkudrep-kudrep
flickering	agpapatay
flight	panagtayab
flighty	managbaliw nakuti
flimsy	naingpis
flimsy	narukop
fling	ibato
fling	ibeleng
flippant	garampang
flippant	nagaraw
flirt	garampang
flirt	sayet
float	balsa
float	karo
float	lumtaw
float	lumutang
float	tumpaw
flock	agtipon
flock	agu-urnong
flock	pangen
flock	taripnong
flock	timpuyog
flock	tipon
flooded	nalayus
flood	lay&&&
flood	layos
floor	kadsaaran
floor	datar
flora	minuyongan ti ili&&&sabong
florid	nalasbang
florid	nasabong
florid	nasileng
florist	aglako iti sabong
flour	belaay
flour	bilaay
flour	harina
flourish	aglanto
flourish	umadu
flow	agayos
flow	agayus
flowering	agsabsabong
flowering	masetas
flower	sabong
flower	sabung
flow	iagos
flow	umagos
fluctuate	agbaliw
fluctuate	agbinnabinnat
fluctuate	paggarawen
fluent	nalaing
fluent	nasayud
fluent	natarabit
fluid	ania man nga agayus kas ti danum
fluid	lana
flush	agpayakpak
flutter	agpayakpak
fly	ahilaw
fly	agtayab
fly-leaf	umuna a binulong ti libro
fly	liparin
fly	lumipad
fly	ngilaw
foam	burek
foam	munurek
foe	kalaban
foe	kanusor
fog	angep
foggy	naangep
foggy	naulep
fog	ulap na hamog
foil	atipaen
foil	paayen
fold	kupinen
fold	ikulpi
fold	masakup
fold	sakup
foliage	bulbulong
folks	dahiti kaman
folks	tattao
follower	adipen
follower	pasurot
following	sumursurot
follow	mabayag pay ah
folly	biddut
folly	kinaalikuteg
fondle	iggaman a silalailo
fond	naayat
fond	nadungngo
fondness	panangipateg
fondness	pannakairuam
food	kanen
food	makan
food	taraon
food	tarson
foolish	kalukwan
fool	kawaw
fool	maag
fool	tungang
foot asleep	napipikel ti saka
footlights	entablado
footlights	pagbuyaan
foot-loose	bulos
foot-loose	nakaragut
foot-loose	saan a naigalut
foot	saka
footstep	addang
footsteps	tugot
for	agpaay
forbearance	anus
forbidden	maiparit
forbid	iparit
force	pigsa
force	pilit
force	piliten
forearm	umuna nga igaman
foreboding	n partaan ti peggad
forego	baybay-an
forego	ibbatan
foregone	immuna a natingiting
forego	unnaan
forehead	muhing
foreigner	gangannaet
foreign	gangannaet
foreign	taga sabali a daga
foreman	kapatas
foremost	immuna
foremost	umuna
forenoon	sakbay ti agmatuon
fore	sango
forest	bakir
forest	kakayuan
forest fire	agpuor
forest fire	mapuor
forest	kabakiran
fore	umuna
forfeit	ibbatan
forfeit	pukawen
forge	pandayen
forger	mannulad
forgetful	managlipat
forget	lipatan
forget	lipaten
forge	tuladen
forgiveness	nalipatan
forgiveness	pammakawan
forgive	pakawanen
forgive	pakawan
forgive	pakawanam
fork	kustilyo
fork	tinedor
forlorn	awanan namnama
forlorn	naliday
for	maipanghep
formal	nadayaw
formerly	immun-una
former	ti immuna
form	ladawan
form	langa
for	padak
forsake	baybay-an
forsake	lipaten
fort	kuartel
fort	porte
fort	garison
forthcoming	sumungad
forth	iti rabaw
forth	siruruar
forth	tit imatang
fort	nasalakaiban a disso
fortnight	dua a lawas
fortunate	nagasat
fortune	kinabuknang gasat
forty	upat a pulo
forward	ipawit
forward	iti masangguasan
foul	dakes
foul	naangot
foul	sasa arumbeng nga aramid
foundation	adihi
foundation	pagbatayan
foundation	pangrugyan
founder	nangipatakder
fountain	burayok
fountain	ubbog
four	apatira
four	kuatro
four o'clock	alas kuatro
foursome	uppatan
fourteen	sa ngapulo ket uppat
fourteen	sangapulo ket uppat
fourteenth	maika-sangapulo ket uppat
fourth	maikauppat
four	uppat
fowl	bilit
fowl	manok
fox	kasla aso nga animal
fox	oso
foxy	managsuitik
foxy	manangalilaw
fraction	paset
fraction	pirhis
fraction	rissik
fragile	nalaka a mabuong
fragile	narasi
fragile	narukop
fragrance	bangló
fragrant	naayamu-om
fragrant	nabanglo
frail	narukop
frame	balabala
frame	kuadro
frame	paragpag
frank	nabatad
frankness	kinabatad
fraternity	gimong
fraud	panagkusit
fraught	napno
free	aywaywaya
freedom	waywaya
free	saan a bayadan
freeze	agbalin a hielo
freeze	lumami-is
freeze	mabuô
freeze	mahing yelo
freeze	manigas
